id,title,æ≈’¬À„∑®
489,Robot Room Cleaner,
708,Insert into a Cyclic Sorted List,
800,Similar RGB Color,
776,Split BST,
774,Minimize Max Distance to Gas Station,
702,Search in a Sorted Array of Unknown Size,
772,Basic Calculator III,
431,Encode N-ary Tree to Binary Tree,
428,Serialize and Deserialize N-ary Tree,
760,Find Anagram Mappings,
759,Employee Free Time,
758,Bold Words in String,
426,Convert Binary Search Tree to Sorted Doubly Linked List,
755,Pour Water,
751,IP to CIDR,
750,Number Of Corner Rectangles,
742,Closest Leaf in a Binary Tree,
737,Sentence Similarity II,
734,Sentence Similarity,
727,Minimum Window Subsequence,
723,Candy Crush,
716,Max Stack,
711,Number of Distinct Islands II,
694,Number of Distinct Islands,
683,K Empty Slots,
681,Next Closest Time,
666,Path Sum IV,
663,Equal Tree Partition,
660,Remove 9,
656,Coin Path,
651,4 Keys Keyboard,
644,Maximum Average Subarray II,
642,Design Search Autocomplete System,
635,Design Log Storage System,
634,Find the Derangement of An Array,
631,Design Excel Sum Formula,
625,Minimum Factorization,
624,Maximum Distance in Arrays,
619,Biggest Single Number,
618,Students Report By Geography,
616,Add Bold Tag in String,
615,Average Salary: Departments VS Company,
614,Second Degree Follower,
613,Shortest Distance in a Line,
612,Shortest Distance in a Plane,
610,Triangle Judgement,
608,Tree Node,
607,Sales Person,
604,Design Compressed String Iterator,
603,Consecutive Available Seats,
602,Friend Requests II: Who Has the Most Friends,
597,Friend Requests I: Overall Acceptance Rate,
588,Design In-Memory File System,
586,Customer Placing the Largest Number of Orders,
585,Investments in 2016,
584,Find Customer Referee,
582,Kill Process,
580,Count Student Number in Departments,
579,Find Cumulative Salary of an Employee,
578,Get Highest Answer Rate Question,
577,Employee Bonus,
574,Winning Candidate,
573,Squirrel Simulation,
571,Find Median Given Frequency of Numbers,
570,Managers with at Least 5 Direct Reports,
569,Median Employee Salary,
568,Maximum Vacation Days,
562,Longest Line of Consecutive One in Matrix,
555,Split Concatenated Strings,
549,Binary Tree Longest Consecutive Sequence II,
548,Split Array with Equal Sum,
545,Boundary of Binary Tree,
544,Output Contest Matches,
536,Construct Binary Tree from String,
533,Lonely Pixel II,
531,Lonely Pixel I,
527,Word Abbreviation,
510,Inorder Successor in BST II,
505,The Maze II,
499,The Maze III,
490,The Maze,
487,Max Consecutive Ones II,
484,Find Permutation,
471,Encode String with Shortest Length,
469,Convex Polygon,
465,Optimal Account Balancing,
444,Sequence Reconstruction,
439,Ternary Expression Parser,
425,Word Squares,
422,Valid Word Square,
418,Sentence Screen Fitting,
411,Minimum Unique Word Abbreviation,
408,Valid Word Abbreviation,
379,Design Phone Directory,
370,Range Addition,
369,Plus One Linked List,
366,Find Leaves of Binary Tree,
364,Nested List Weight Sum II,
362,Design Hit Counter,
361,Bomb Enemy,
360,Sort Transformed Array,
359,Logger Rate Limiter,
358,Rearrange String k Distance Apart,
356,Line Reflection,
353,Design Snake Game,
351,Android Unlock Patterns,
348,Design Tic-Tac-Toe,
346,Moving Average from Data Stream,
340,Longest Substring with At Most K Distinct Characters,
339,Nested List Weight Sum,
333,Largest BST Subtree,
325,Maximum Size Subarray Sum Equals k,
323,Number of Connected Components in an Undirected Graph,
320,Generalized Abbreviation,
317,Shortest Distance from All Buildings,
314,Binary Tree Vertical Order Traversal,
311,Sparse Matrix Multiplication,
308,Range Sum Query 2D - Mutable,
305,Number of Islands II,
302,Smallest Rectangle Enclosing Black Pixels,
298,Binary Tree Longest Consecutive Sequence,
296,Best Meeting Point,
294,Flip Game II,
293,Flip Game,
291,Word Pattern II,
288,Unique Word Abbreviation,
286,Walls and Gates,
285,Inorder Successor in BST,
281,Zigzag Iterator,
280,Wiggle Sort,
277,Find the Celebrity,
276,Paint Fence,
272,Closest Binary Search Tree Value II,
271,Encode and Decode Strings,
270,Closest Binary Search Tree Value,
269,Alien Dictionary,
267,Palindrome Permutation II,
266,Palindrome Permutation,
265,Paint House II,
261,Graph Valid Tree,
259,3Sum Smaller,
256,Paint House,
255,Verify Preorder Sequence in Binary Search Tree,
254,Factor Combinations,
253,Meeting Rooms II,
252,Meeting Rooms,
251,Flatten 2D Vector,
250,Count Univalue Subtrees,
249,Group Shifted Strings,
248,Strobogrammatic Number III,
247,Strobogrammatic Number II,
246,Strobogrammatic Number,
245,Shortest Word Distance III,
244,Shortest Word Distance II,
243,Shortest Word Distance,
186,Reverse Words in a String II,
170,Two Sum III - Data structure design,
163,Missing Ranges,
161,One Edit Distance,
159,Longest Substring with At Most Two Distinct Characters,
158,Read N Characters Given Read4 II - Call multiple times,
157,Read N Characters Given Read4,
156,Binary Tree Upside Down,
